# Time	U	V	U_magnitude
64.4	-0.00405966	0.0565226	0.0566682
64.6	-0.00268137	0.0551624	0.0552275
64.8	-0.00135816	0.0537311	0.0537483
65	-9.44028e-05	0.0522307	0.0522308
65.2	0.00110534	0.0506633	0.0506754
65.4	0.00223693	0.0490317	0.0490827
65.6	0.00329624	0.0473384	0.047453
65.8	0.0042792	0.0455865	0.0457869
66	0.00518223	0.0437792	0.0440849
66.2	0.0060014	0.04192	0.0423474
66.4	0.00673313	0.0400125	0.0405751
66.6	0.0073739	0.038061	0.0387688
66.8	0.00792021	0.0360699	0.0369292
67	0.00836883	0.0340437	0.0350573
67.2	0.00871699	0.0319875	0.033154
67.4	0.00896214	0.0299063	0.0312203
67.6	0.00910188	0.0278055	0.0292573
67.8	0.00913405	0.0256908	0.0272662
68	0.00905678	0.0235681	0.0252484
68.2	0.00886864	0.0214438	0.0232054
68.4	0.00856864	0.019324	0.0211386
68.6	0.00815626	0.0172154	0.0190498
68.8	0.00763144	0.0151246	0.0169408
69	0.00699442	0.0130584	0.0148137
69.2	0.00624597	0.0110241	0.0126705
69.4	0.00538744	0.00902858	0.0105138
69.6	0.00442066	0.00707921	0.00834611
69.8	0.00334815	0.00518327	0.00617061
70	0.00217294	0.00334777	0.00399114
70.2	0.000898737	0.00157979	0.00181754
70.4	-0.000470559	-0.000113916	0.000484152
70.6	-0.00192997	-0.00172696	0.00258982
70.8	-0.00347513	-0.00325449	0.00476112
71	-0.005101	-0.00469162	0.00693048
71.2	-0.00680225	-0.00603436	0.00909308
71.4	-0.00857387	-0.00727815	0.0112465
71.6	-0.0104099	-0.00841964	0.0133887
71.8	-0.012305	-0.00945482	0.0155179
72	-0.0142527	-0.0103808	0.0176324
72.2	-0.0162476	-0.0111943	0.0197307
72.4	-0.018283	-0.0118927	0.0218106
72.6	-0.0203524	-0.0124737	0.0238708
72.8	-0.0224497	-0.0129351	0.0259095
73	-0.024568	-0.0132748	0.027925
73.2	-0.0267005	-0.0134916	0.0299156
73.4	-0.0288405	-0.0135841	0.0318795
73.6	-0.030981	-0.0135516	0.0338152
73.8	-0.033115	-0.0133936	0.035721
74	-0.0352355	-0.0131099	0.0375953
74.2	-0.0373352	-0.012701	0.0394364
74.4	-0.0394072	-0.0121674	0.0412428
74.6	-0.041444	-0.0115104	0.0430127
74.8	-0.0434389	-0.0107311	0.0447448
75	-0.045385	-0.00983193	0.0464377
75.2	-0.0472747	-0.00881529	0.0480895
75.4	-0.0491016	-0.00768383	0.0496992
75.6	-0.0508587	-0.00644126	0.0512649
75.8	-0.0525397	-0.00509116	0.0527858
76	-0.0541377	-0.00363776	0.0542598
76.2	-0.0556469	-0.00208624	0.055686
76.4	-0.0570613	-0.000441829	0.057063
76.6	-0.0583752	0.00128926	0.0583894
76.8	-0.0595832	0.00310021	0.0596638
77	-0.0606803	0.00498409	0.0608847
77.2	-0.061662	0.00693393	0.0620506
77.4	-0.062524	0.00894218	0.0631602
77.6	-0.0632626	0.011001	0.064212
77.8	-0.0638745	0.0131024	0.0652045
78	-0.0643569	0.0152379	0.0661363
78.2	-0.0647076	0.0173993	0.0670061
78.4	-0.0649251	0.0195778	0.0678127
78.6	-0.0650083	0.0217648	0.068555
78.8	-0.0649569	0.0239517	0.0692321
79	-0.064771	0.0261297	0.069843
79.2	-0.0644516	0.0282902	0.0703871
