"Points_Y","velocity_X"
0.634,0.0715847
0.635,0.0725946
0.636,0.0736056
0.637,0.0746177
0.638,0.0756309
0.639,0.0766451
0.64,0.0776606
0.641,0.0786768
0.642,0.0796947
0.643,0.0807132
0.644,0.0817334
0.645,0.0827541
0.646,0.0837767
0.647,0.0847998
0.648,0.0858247
0.649,0.0868501
0.65,0.0878776
0.651,0.0889055
0.652,0.0899355
0.653,0.0909656
0.654,0.0919982
0.655,0.0930309
0.656,0.0940662
0.657,0.0951015
0.658,0.0961392
0.659,0.0971772
0.66,0.0982176
0.661,0.0992583
0.662,0.100301
0.663,0.101345
0.664,0.102391
0.665,0.103437
0.666,0.104485
0.667,0.105535
0.668,0.106585
0.669,0.107637
0.67,0.108691
0.671,0.109747
0.672,0.110803
0.673,0.111862
0.674,0.112921
0.675,0.113982
0.676,0.115045
0.677,0.116109
0.678,0.117174
0.679,0.118242
0.68,0.11931
0.681,0.120381
0.682,0.121452
0.683,0.122526
0.684,0.123601
0.685,0.124678
0.686,0.125755
0.687,0.126836
0.688,0.127916
0.689,0.129
0.69,0.130084
0.691,0.131171
0.692,0.132258
0.693,0.133349
0.694,0.134439
0.695,0.135533
0.696,0.136627
0.697,0.137724
0.698,0.138821
0.699,0.139922
0.7,0.141023
0.701,0.142126
0.702,0.143231
0.703,0.144338
0.704,0.145446
0.705,0.146556
0.706,0.147668
0.707,0.148781
0.708,0.149896
0.709,0.151014
0.71,0.152133
0.711,0.153253
0.712,0.154376
0.713,0.155499
0.714,0.156625
0.715,0.157753
0.716,0.158882
0.717,0.160013
0.718,0.161147
0.719,0.162281
0.72,0.163417
0.721,0.164555
0.722,0.165695
0.723,0.166837
0.724,0.167981
0.725,0.169125
0.726,0.170273
0.727,0.17142
0.728,0.172571
0.729,0.173723
0.73,0.174877
0.731,0.176032
0.732,0.17719
0.733,0.178348
0.734,0.179509
0.735,0.180671
0.736,0.181835
0.737,0.183
0.738,0.184168
0.739,0.185336
0.74,0.186507
0.741,0.187679
0.742,0.188853
0.743,0.190027
0.744,0.191204
0.745,0.192383
0.746,0.193562
0.747,0.194744
0.748,0.195927
0.749,0.197111
0.75,0.198296
0.751,0.199483
0.752,0.200671
0.753,0.201861
0.754,0.203052
0.755,0.204245
0.756,0.205438
0.757,0.206633
0.758,0.207829
0.759,0.209027
0.76,0.210226
0.761,0.211426
0.762,0.212626
0.763,0.213828
0.764,0.215031
0.765,0.216236
0.766,0.21744
0.767,0.218647
0.768,0.219853
0.769,0.221061
0.77,0.222269
0.771,0.223479
0.772,0.224688
0.773,0.2259
0.774,0.227111
0.775,0.228323
0.776,0.229536
0.777,0.230749
0.778,0.231963
0.779,0.233177
0.78,0.234391
0.781,0.235606
0.782,0.236821
0.783,0.238036
0.784,0.239252
0.785,0.240468
0.786,0.241683
0.787,0.242899
0.788,0.244115
0.789,0.24533
0.79,0.246546
0.791,0.247761
0.792,0.248976
0.793,0.25019
0.794,0.251404
0.795,0.252618
0.796,0.253831
0.797,0.255043
0.798,0.256255
0.799,0.257466
0.8,0.258676
0.801,0.259886
0.802,0.261093
0.803,0.262301
0.804,0.263507
0.805,0.264713
0.806,0.265916
0.807,0.267119
0.808,0.268319
0.809,0.269519
0.81,0.270716
0.811,0.271913
0.812,0.273107
0.813,0.2743
0.814,0.27549
0.815,0.276679
0.816,0.277865
0.817,0.27905
0.818,0.280232
0.819,0.281413
0.82,0.28259
0.821,0.283765
0.822,0.284937
0.823,0.286107
0.824,0.287273
0.825,0.288437
0.826,0.289598
0.827,0.290756
0.828,0.291911
0.829,0.293062
0.83,0.29421
0.831,0.295355
0.832,0.296496
0.833,0.297633
0.834,0.298767
0.835,0.299896
0.836,0.301023
0.837,0.302143
0.838,0.303262
0.839,0.304374
0.84,0.305484
0.841,0.306587
0.842,0.307689
0.843,0.308783
0.844,0.309875
0.845,0.310959
0.846,0.312041
0.847,0.313115
0.848,0.314188
0.849,0.31525
0.85,0.316312
0.851,0.317364
0.852,0.318414
0.853,0.319455
0.854,0.320494
0.855,0.321524
0.856,0.322551
0.857,0.323569
0.858,0.324583
0.859,0.325589
0.86,0.32659
0.861,0.327583
0.862,0.328572
0.863,0.329552
0.864,0.330527
0.865,0.331494
0.866,0.332455
0.867,0.333409
0.868,0.334356
0.869,0.335297
0.87,0.336229
0.871,0.337156
0.872,0.338074
0.873,0.338987
0.874,0.33989
0.875,0.340789
0.876,0.341677
0.877,0.342562
0.878,0.343436
0.879,0.344308
0.88,0.345167
0.881,0.346024
0.882,0.34687
0.883,0.347714
0.884,0.348546
0.885,0.349377
0.886,0.350196
0.887,0.351014
0.888,0.351821
0.889,0.352628
0.89,0.353424
0.891,0.35422
0.892,0.355007
0.893,0.355793
0.894,0.356573
0.895,0.357351
0.896,0.358125
0.897,0.358897
0.898,0.359667
0.899,0.360436
0.9,0.361205
0.901,0.361975
0.902,0.362746
0.903,0.363519
0.904,0.364296
0.905,0.365078
0.906,0.365864
0.907,0.366659
0.908,0.36746
0.909,0.368274
0.91,0.369096
0.911,0.369936
0.912,0.370784
0.913,0.371657
0.914,0.37254
0.915,0.373456
0.916,0.374381
0.917,0.37535
0.918,0.376327
0.919,0.377359
0.92,0.378399
0.921,0.379507
0.922,0.380621
0.923,0.381821
0.924,0.383025
0.925,0.384329
0.926,0.385641
0.927,0.387063
0.928,0.388502
0.929,0.390059
0.93,0.391644
0.931,0.393356
0.932,0.395108
0.933,0.396995
0.934,0.398937
0.935,0.401023
0.936,0.403181
0.937,0.405489
0.938,0.40789
0.939,0.410446
0.94,0.413119
0.941,0.415949
0.942,0.418925
0.943,0.422059
0.944,0.425369
0.945,0.428837
0.946,0.432515
0.947,0.436347
0.948,0.440429
0.949,0.444658
0.95,0.449178
0.951,0.453834
0.952,0.458828
0.953,0.463946
0.954,0.46945
0.955,0.475061
0.956,0.481109
0.957,0.487244
0.958,0.493869
0.959,0.500559
0.96,0.507793
0.961,0.515065
0.962,0.522936
0.963,0.530837
0.964,0.539345
0.965,0.547909
0.966,0.557063
0.967,0.566307
0.968,0.576119
0.969,0.586055
0.97,0.596531
0.971,0.607164
0.972,0.6183
0.973,0.629626
0.974,0.641415
0.975,0.653421
0.976,0.665845
0.977,0.678507
0.978,0.691537
0.979,0.70482
0.98,0.718422
0.981,0.73228
0.982,0.746403
0.983,0.760778
0.984,0.775366
0.985,0.790188
0.986,0.805171
0.987,0.82036
0.988,0.835662
0.989,0.851127
0.99,0.866661
0.991,0.8823
0.992,0.897974
0.993,0.913683
0.994,0.929401
0.995,0.945071
0.996,0.960731
0.997,0.976253
0.998,0.991761
0.999,nan
1,nan
