"Points_Y","velocity_X"
0.628,0.0612212
0.629,0.0621495
0.63,0.0630778
0.631,0.0640061
0.632,0.0649345
0.633,0.0658628
0.634,0.0667911
0.635,0.0677195
0.636,0.0686508
0.637,0.069588
0.638,0.0705252
0.639,0.0714624
0.64,0.0723996
0.641,0.0733367
0.642,0.074274
0.643,0.0752112
0.644,0.0761538
0.645,0.0771002
0.646,0.0780467
0.647,0.0789931
0.648,0.0799396
0.649,0.080886
0.65,0.0818324
0.651,0.0827789
0.652,0.0837333
0.653,0.0846892
0.654,0.0856451
0.655,0.086601
0.656,0.087557
0.657,0.0885129
0.658,0.0894688
0.659,0.0904255
0.66,0.0913911
0.661,0.0923567
0.662,0.0933223
0.663,0.0942879
0.664,0.0952535
0.665,0.0962191
0.666,0.0971847
0.667,0.0981535
0.668,0.0991289
0.669,0.100104
0.67,0.10108
0.671,0.102055
0.672,0.10303
0.673,0.104006
0.674,0.104981
0.675,0.105962
0.676,0.106947
0.677,0.107932
0.678,0.108917
0.679,0.109902
0.68,0.110887
0.681,0.111872
0.682,0.112857
0.683,0.11385
0.684,0.114844
0.685,0.115839
0.686,0.116833
0.687,0.117828
0.688,0.118822
0.689,0.119817
0.69,0.120812
0.691,0.121816
0.692,0.12282
0.693,0.123823
0.694,0.124827
0.695,0.125831
0.696,0.126835
0.697,0.127838
0.698,0.128845
0.699,0.129857
0.7,0.13087
0.701,0.131882
0.702,0.132895
0.703,0.133907
0.704,0.134919
0.705,0.135932
0.706,0.136949
0.707,0.137969
0.708,0.13899
0.709,0.14001
0.71,0.14103
0.711,0.142051
0.712,0.143071
0.713,0.144092
0.714,0.145118
0.715,0.146146
0.716,0.147174
0.717,0.148201
0.718,0.149229
0.719,0.150257
0.72,0.151284
0.721,0.152312
0.722,0.153346
0.723,0.15438
0.724,0.155414
0.725,0.156448
0.726,0.157482
0.727,0.158516
0.728,0.15955
0.729,0.160585
0.73,0.161624
0.731,0.162663
0.732,0.163702
0.733,0.164741
0.734,0.16578
0.735,0.166819
0.736,0.167858
0.737,0.168899
0.738,0.169941
0.739,0.170984
0.74,0.172026
0.741,0.173069
0.742,0.174111
0.743,0.175153
0.744,0.176196
0.745,0.17724
0.746,0.178284
0.747,0.179329
0.748,0.180373
0.749,0.181418
0.75,0.182462
0.751,0.183507
0.752,0.184551
0.753,0.185596
0.754,0.186641
0.755,0.187685
0.756,0.18873
0.757,0.189775
0.758,0.190819
0.759,0.191864
0.76,0.192908
0.761,0.193951
0.762,0.194994
0.763,0.196037
0.764,0.19708
0.765,0.198123
0.766,0.199166
0.767,0.200209
0.768,0.20125
0.769,0.202289
0.77,0.203329
0.771,0.204368
0.772,0.205407
0.773,0.206446
0.774,0.207485
0.775,0.208524
0.776,0.209559
0.777,0.210592
0.778,0.211625
0.779,0.212658
0.78,0.213691
0.781,0.214724
0.782,0.215757
0.783,0.216789
0.784,0.217814
0.785,0.218839
0.786,0.219863
0.787,0.220888
0.788,0.221912
0.789,0.222937
0.79,0.223961
0.791,0.224983
0.792,0.225996
0.793,0.22701
0.794,0.228023
0.795,0.229037
0.796,0.23005
0.797,0.231064
0.798,0.232078
0.799,0.233084
0.8,0.234083
0.801,0.235083
0.802,0.236083
0.803,0.237083
0.804,0.238083
0.805,0.239082
0.806,0.240082
0.807,0.241069
0.808,0.242053
0.809,0.243036
0.81,0.24402
0.811,0.245003
0.812,0.245987
0.813,0.24697
0.814,0.247953
0.815,0.248917
0.816,0.249881
0.817,0.250845
0.818,0.25181
0.819,0.252774
0.82,0.253738
0.821,0.254703
0.822,0.25566
0.823,0.256603
0.824,0.257545
0.825,0.258488
0.826,0.25943
0.827,0.260373
0.828,0.261315
0.829,0.262258
0.83,0.263187
0.831,0.264105
0.832,0.265023
0.833,0.265941
0.834,0.266859
0.835,0.267777
0.836,0.268695
0.837,0.269613
0.838,0.27051
0.839,0.271401
0.84,0.272293
0.841,0.273184
0.842,0.274075
0.843,0.274967
0.844,0.275858
0.845,0.276748
0.846,0.277611
0.847,0.278474
0.848,0.279337
0.849,0.2802
0.85,0.281063
0.851,0.281926
0.852,0.282789
0.853,0.283644
0.854,0.284478
0.855,0.285312
0.856,0.286146
0.857,0.28698
0.858,0.287814
0.859,0.288649
0.86,0.289483
0.861,0.290303
0.862,0.29111
0.863,0.291917
0.864,0.292725
0.865,0.293532
0.866,0.294339
0.867,0.295147
0.868,0.295954
0.869,0.296745
0.87,0.297531
0.871,0.298317
0.872,0.299102
0.873,0.299888
0.874,0.300674
0.875,0.30146
0.876,0.302246
0.877,0.303023
0.878,0.303799
0.879,0.304576
0.88,0.305352
0.881,0.306129
0.882,0.306906
0.883,0.307682
0.884,0.308463
0.885,0.309253
0.886,0.310042
0.887,0.310832
0.888,0.311622
0.889,0.312412
0.89,0.313202
0.891,0.313992
0.892,0.314809
0.893,0.315651
0.894,0.316493
0.895,0.317335
0.896,0.318177
0.897,0.319019
0.898,0.319861
0.899,0.320703
0.9,0.321635
0.901,0.322594
0.902,0.323552
0.903,0.32451
0.904,0.325468
0.905,0.326427
0.906,0.327385
0.907,0.328349
0.908,0.329524
0.909,0.330699
0.91,0.331874
0.911,0.33305
0.912,0.334225
0.913,0.3354
0.914,0.336575
0.915,0.33785
0.916,0.339393
0.917,0.340936
0.918,0.342479
0.919,0.344022
0.92,0.345564
0.921,0.347107
0.922,0.34865
0.923,0.350496
0.924,0.352623
0.925,0.354751
0.926,0.356878
0.927,0.359005
0.928,0.361132
0.929,0.363259
0.93,0.365386
0.931,0.368188
0.932,0.371195
0.933,0.374202
0.934,0.377209
0.935,0.380215
0.936,0.383222
0.937,0.386229
0.938,0.389255
0.939,0.393521
0.94,0.397786
0.941,0.402052
0.942,0.406317
0.943,0.410583
0.944,0.414848
0.945,0.419114
0.946,0.423829
0.947,0.429802
0.948,0.435774
0.949,0.441747
0.95,0.44772
0.951,0.453693
0.952,0.459666
0.953,0.465639
0.954,0.472723
0.955,0.48087
0.956,0.489017
0.957,0.497165
0.958,0.505312
0.959,0.513459
0.96,0.521606
0.961,0.529754
0.962,0.539838
