"velocity_X","Points_Y"
-0.0283344,0.474075
-0.0277651,0.475073
-0.027196,0.476071
-0.0266269,0.477069
-0.0260578,0.478067
-0.0254888,0.479065
-0.0249198,0.480063
-0.0243508,0.481061
-0.0237819,0.482059
-0.023213,0.483057
-0.022644,0.484055
-0.0220751,0.485053
-0.0215062,0.486051
-0.0209372,0.487049
-0.0203683,0.488047
-0.0197994,0.489045
-0.0192305,0.490043
-0.0186615,0.491042
-0.0180924,0.49204
-0.0175234,0.493038
-0.0169544,0.494036
-0.0163852,0.495034
-0.015816,0.496032
-0.0152468,0.49703
-0.0150119,0
-0.0146776,0.498028
-0.0141082,0.499026
-0.0135387,0.500024
-0.0129693,0.501022
-0.0123998,0.50202
-0.01183,0.503018
-0.0112603,0.504016
-0.0106905,0.505014
-0.0101207,0.506012
-0.00955059,0.50701
-0.00898046,0.508008
-0.0084103,0.509006
-0.00784004,0.510004
-0.0072694,0.511003
-0.0066988,0.512001
-0.00612816,0.512999
-0.00555735,0.513997
-0.00498617,0.514995
-0.00441498,0.515993
-0.00384382,0.516991
-0.00327233,0.517989
-0.00270054,0.518987
-0.00212872,0.519985
-0.00155692,0.520983
-0.000984688,0.521981
-0.000412191,0.522979
0.000160341,0.523977
0.000732839,0.524975
0.00130577,0.525973
0.00187886,0.526971
0.00245198,0.527969
0.00302507,0.528967
0.00359872,0.529966
0.00417247,0.530964
0.00474625,0.531962
0.00532004,0.53296
0.00589445,0.533958
0.00646899,0.534956
0.00704349,0.535954
0.00761802,0.536952
0.00819334,0.53795
0.00876871,0.538948
0.00934405,0.539946
0.0099195,0.540944
0.0104957,0.541942
0.011072,0.54294
0.0116483,0.543938
0.0122247,0.544936
0.012802,0.545934
0.0133793,0.546932
0.0139566,0.54793
0.0145342,0.548928
0.0151125,0.549927
0.0156909,0.550925
0.0162693,0.551923
0.0168481,0.552921
0.0174277,0.553919
0.0180072,0.554917
0.0185867,0.555915
0.0191669,0.556913
0.0197478,0.557911
0.0203286,0.558909
0.0209094,0.559907
0.021491,0.560905
0.0220732,0.561903
0.0226554,0.562901
0.0232376,0.563899
0.0238208,0.564897
0.0244045,0.565895
0.0249881,0.566893
0.0255717,0.567891
0.0261566,0.56889
0.0267418,0.569888
0.0273271,0.570886
0.0279123,0.571884
0.028499,0.572882
0.0290858,0.57388
0.0296727,0.574878
0.0302596,0.575876
0.0308482,0.576874
0.0314368,0.577872
0.0320255,0.57887
0.0326143,0.579868
0.0332048,0.580866
0.0337952,0.581864
0.0343857,0.582862
0.0349765,0.58386
0.035569,0.584858
0.0361614,0.585856
0.0367538,0.586854
0.0373469,0.587853
0.0379413,0.588851
0.0385358,0.589849
0.0391303,0.590847
0.0397257,0.591845
0.0403223,0.592843
0.0409189,0.593841
0.0415156,0.594839
0.0421133,0.595837
0.0427123,0.596835
0.0433111,0.597833
0.04391,0.598831
0.0445103,0.599829
0.0451116,0.600827
0.0457128,0.601825
0.046314,0.602823
0.0469169,0.603821
0.0475206,0.604819
0.0481243,0.605817
0.048728,0.606816
0.0493338,0.607814
0.04994,0.608812
0.0505463,0.60981
0.0511525,0.610808
0.0517612,0.611806
0.0523701,0.612804
0.052979,0.613802
0.0535879,0.6148
0.0541996,0.615798
0.0548112,0.616796
0.0554229,0.617794
0.0560349,0.618792
0.0566494,0.61979
0.0572639,0.620788
0.0578784,0.621786
0.0584935,0.622784
0.059111,0.623782
0.0597285,0.62478
0.060346,0.625778
0.0609645,0.626777
0.0615851,0.627775
0.0622057,0.628773
0.0628262,0.629771
0.0634482,0.630769
0.0640719,0.631767
0.0646957,0.632765
0.0653194,0.633763
0.0659449,0.634761
0.0665719,0.635759
0.067199,0.636757
0.067826,0.637755
0.0684552,0.638753
0.0690857,0.639751
0.0697161,0.640749
0.0703466,0.641747
0.0709796,0.642745
0.0716136,0.643743
0.0722476,0.644741
0.0728815,0.64574
0.0735185,0.646738
0.0741561,0.647736
0.0747937,0.648734
0.0754314,0.649732
0.0760724,0.65073
0.0767138,0.651728
0.0773551,0.652726
0.0779966,0.653724
0.0786418,0.654722
0.079287,0.65572
0.0799322,0.656718
0.0805779,0.657716
0.0812271,0.658714
0.0818762,0.659712
0.0825254,0.66071
0.0831755,0.661708
0.0838288,0.662706
0.084482,0.663704
0.0851353,0.664703
0.0857899,0.665701
0.0864474,0.666699
0.0871048,0.667697
0.0877623,0.668695
0.0884215,0.669693
0.0890833,0.670691
0.0897451,0.671689
0.0904069,0.672687
0.091071,0.673685
0.0917372,0.674683
0.0924034,0.675681
0.0930696,0.676679
0.0937387,0.677677
0.0944095,0.678675
0.0950802,0.679673
0.095751,0.680671
0.0964252,0.681669
0.0971006,0.682667
0.097776,0.683666
0.0984514,0.684664
0.0991309,0.685662
0.0998111,0.68666
0.100491,0.687658
0.101172,0.688656
0.101856,0.689654
0.102541,0.690652
0.103227,0.69165
0.103912,0.692648
0.104602,0.693646
0.105292,0.694644
0.105983,0.695642
0.106674,0.69664
0.107369,0.697638
0.108064,0.698636
0.108759,0.699634
0.109456,0.700632
0.110157,0.70163
0.110857,0.702628
0.111558,0.703627
0.112261,0.704625
0.112967,0.705623
0.113672,0.706621
0.114378,0.707619
0.115087,0.708617
