# Time	U	V	U_magnitude
43	-0.010633	0.0602155	0.0611471
43.2	-0.0113472	0.0588674	0.0599511
43.4	-0.01208	0.0575498	0.058804
43.6	-0.0128335	0.0562659	0.0577109
43.8	-0.0136064	0.055016	0.0566735
44	-0.0143945	0.0537979	0.0556904
44.2	-0.0151941	0.0526098	0.0547599
44.4	-0.0160044	0.0514513	0.053883
44.6	-0.0168269	0.0503248	0.0530634
44.8	-0.0176633	0.0492334	0.052306
45	-0.0185136	0.0481781	0.0516128
45.2	-0.0193744	0.0471574	0.0509822
45.4	-0.0202418	0.0461694	0.0504118
45.6	-0.0211143	0.0452136	0.0499007
45.8	-0.0219926	0.0442909	0.0494506
46	-0.0228782	0.0434039	0.0490644
46.2	-0.0237715	0.0425537	0.0487432
46.4	-0.02467	0.0417396	0.0484851
46.6	-0.0255701	0.04096	0.0482862
46.8	-0.0264699	0.0402139	0.0481436
47	-0.0273692	0.0395013	0.0480565
47.2	-0.0282693	0.0388242	0.0480257
47.4	-0.0291707	0.0381835	0.0480511
47.6	-0.0300717	0.0375791	0.04813
47.8	-0.0309694	0.0370097	0.0482579
48	-0.0318615	0.0364738	0.0484304
48.2	-0.0327474	0.0359712	0.0486448
48.4	-0.0336277	0.0355029	0.0489007
48.6	-0.0345032	0.0350696	0.0491971
48.8	-0.0353727	0.0346715	0.0495312
49	-0.0362339	0.0343075	0.0498989
49.2	-0.0370844	0.0339762	0.0502955
49.4	-0.0379232	0.033677	0.0507179
49.6	-0.0387509	0.03341	0.051165
49.8	-0.0395679	0.0331758	0.0516358
50	-0.0403738	0.0329744	0.0521283
50.2	-0.0411665	0.0328052	0.052639
50.4	-0.0419439	0.0326666	0.0531639
50.6	-0.0427048	0.0325578	0.0537002
50.8	-0.0434492	0.0324785	0.0542465
51	-0.0441777	0.0324288	0.0548023
51.2	-0.0448898	0.0324088	0.0553663
51.4	-0.0455844	0.0324178	0.0559361
51.6	-0.0462594	0.0324545	0.0565087
51.8	-0.0469136	0.0325178	0.0570815
52	-0.0475469	0.032607	0.0576535
52.2	-0.0481595	0.0327219	0.0582243
52.4	-0.0487516	0.0328624	0.0587933
52.6	-0.049322	0.0330279	0.0593591
